2022-04-16 00:50:45,907 | MainThread   | [INFO    ] | on_click_sim_reset  |: Resetting Simulator
2022-04-16 00:51:41,494 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-16 00:51:43,034 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-16 00:52:16,707 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-17 01:04:17,242 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-04-17 01:10:53,098 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2022-04-17 01:32:43,742 | MainThread   | [INFO    ] | on_click_plotter_reset|: Resetting Plotter
2022-04-17 01:32:44,433 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2022-04-17 01:41:21,220 | MainThread   | [INFO    ] | on_click_sim_reset  |: Resetting Simulator
2022-04-17 01:41:22,883 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-17 01:41:23,980 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2022-04-17 01:57:41,774 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2022-04-17 02:10:22,329 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-18 00:45:31,122 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2022-04-18 00:46:17,444 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2022-04-19 01:09:35,467 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2022-04-19 01:09:36,111 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
