2022-04-16 00:46:37,789 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-16 18:12:11,962 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-17 01:04:22,893 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-17 01:10:53,092 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2022-04-17 01:57:41,763 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2022-04-18 00:42:08,819 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-18 00:45:31,121 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2022-04-18 00:46:17,443 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2022-04-18 19:42:16,300 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-19 00:50:33,595 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-22 03:40:28,393 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-22 03:40:35,199 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2022-04-22 03:40:43,121 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-23 02:07:31,824 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-23 12:57:11,172 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2022-04-23 12:58:19,827 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
