2022-04-24 02:39:03,293 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.043, 0.063, 1436.087)
2022-04-24 02:39:03,301 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:39:07,452 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:39:07,468 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 0, 9)
2022-04-24 02:39:07,469 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (6, 4, 4) with prob = 0.0576207
2022-04-24 02:39:07,484 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.500, -0.978, 1530.093)
2022-04-24 02:39:07,543 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:39:10,941 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:39:10,958 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 0, 9)
2022-04-24 02:39:10,969 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (8, 1, 9) with prob = 1.0
2022-04-24 02:39:10,982 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 6.621697769853172e-09
2022-04-24 02:39:10,992 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.805, -0.978, 1800.093)
2022-04-24 02:39:10,998 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.914, -0.914, 10.000)
2022-04-24 02:39:11,014 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.110, -0.064, 1790.093)
2022-04-24 02:39:11,079 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:39:28,273 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-24 02:39:28,274 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-24 02:39:32,280 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:39:32,300 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-24 02:39:32,301 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (5, 3, 9) with prob = 0.8415022
2022-04-24 02:39:32,302 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-24 02:39:32,375 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-24 02:39:32,413 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, -0.305, 10.000)
2022-04-24 02:39:32,418 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.000, 0.305, 350.000)
2022-04-24 02:39:32,449 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:40:07,894 | MainThread   | [INFO    ] | populate_views      |:  | Number of observations per grid cell: 18
2022-04-24 02:40:07,897 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Views...
2022-04-24 02:40:12,957 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Time: 5.059 secs
2022-04-24 02:40:12,959 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-24 02:40:12,965 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-24 02:40:42,336 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-24 02:40:42,337 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-24 02:40:46,434 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:40:46,619 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-24 02:40:46,645 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (5, 4, 9) with prob = 0.8051515
