2022-05-02 18:06:09,452 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.008176784300177938
2022-05-02 18:06:09,457 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.332, 0.849, 4110.892)
2022-05-02 18:06:09,464 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.219, 0.914, 150.000)
2022-05-02 18:06:09,469 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.113, -0.065, 3960.892)
2022-05-02 18:06:09,471 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:12,689 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:12,708 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 6, 3)
2022-05-02 18:06:12,709 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (7, 7, 5) with prob = 0.1082851
2022-05-02 18:06:12,710 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.178, -0.065, 4278.753)
2022-05-02 18:06:12,714 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:15,630 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:15,635 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 6, 3)
2022-05-02 18:06:15,639 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (7, 7, 3) with prob = 1.0
2022-05-02 18:06:15,643 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.004834086872465232
2022-05-02 18:06:15,647 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.432, 0.849, 4568.754)
2022-05-02 18:06:15,655 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, 0.914, -110.000)
2022-05-02 18:06:15,659 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.178, -0.065, 4678.754)
2022-05-02 18:06:15,664 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:17,781 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:17,790 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 4, 5)
2022-05-02 18:06:17,791 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (8, 5, 5) with prob = 0.0873130
2022-05-02 18:06:17,794 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.722, -0.071, 4684.600)
2022-05-02 18:06:17,798 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:20,711 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:20,718 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 5)
2022-05-02 18:06:20,719 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (6, 5, 5) with prob = 1.0
2022-05-02 18:06:20,727 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 4.849068477379012e-08
2022-05-02 18:06:20,734 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.193, 0.233, 4974.600)
2022-05-02 18:06:20,739 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, 0.305, -70.000)
2022-05-02 18:06:20,742 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.112, -0.071, 5044.600)
2022-05-02 18:06:20,751 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:22,909 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:22,924 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (5, 3, 2)
2022-05-02 18:06:22,932 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (4, 4, 2) with prob = 0.1232475
2022-05-02 18:06:22,948 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.213, -0.048, 5034.711)
2022-05-02 18:06:22,977 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:25,946 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:25,990 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (5, 3, 2)
2022-05-02 18:06:26,024 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (5, 3, 2) with prob = 0.9999999
2022-05-02 18:06:26,026 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0009866531876917563
2022-05-02 18:06:26,063 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.092, -0.048, 5264.711)
2022-05-02 18:06:26,100 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, -0.305, -130.000)
2022-05-02 18:06:26,111 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.092, 0.257, 5394.711)
2022-05-02 18:06:26,113 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:29,229 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:29,244 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (4, 3, 1)
2022-05-02 18:06:29,252 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (4, 0, 1) with prob = 0.1042703
2022-05-02 18:06:29,256 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.177, 1.055, 5392.265)
2022-05-02 18:06:29,269 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:32,171 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:32,180 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (4, 3, 1)
2022-05-02 18:06:32,184 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (4, 3, 1) with prob = 1.0
2022-05-02 18:06:32,186 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.557656246017602e-12
2022-05-02 18:06:32,190 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.482, -0.164, 5602.265)
2022-05-02 18:06:32,196 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.305, -0.305, -150.000)
2022-05-02 18:06:32,213 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.177, 0.141, 5752.265)
2022-05-02 18:06:32,224 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:35,349 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:35,363 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (3, 3, 17)
2022-05-02 18:06:35,367 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (0, 3, 17) with prob = 0.0979129
2022-05-02 18:06:35,372 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.645, 0.189, 5408.865)
2022-05-02 18:06:35,376 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-05-02 18:06:38,300 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-05-02 18:06:38,312 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (3, 3, 17)
2022-05-02 18:06:38,316 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (2, 3, 0) with prob = 1.0
2022-05-02 18:06:38,320 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.016439548928997315
2022-05-02 18:06:38,331 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.879, -0.116, 5938.865)
2022-05-02 18:06:38,334 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.914, -0.305, -170.000)
2022-05-02 18:06:38,337 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.036, 0.189, 6108.865)
