(-3075.732177734375, 1649877203.381543)
(-3102.319091796875, 1649877205.4816399)
(-3119.0341796875, 1649877207.596999)
(-3140.18994140625, 1649877209.606357)
(-3156.41943359375, 1649877211.7666152)
(-3176.044921875, 1649877213.8219059)
(-3197.58349609375, 1649877216.041211)
(-3215.991455078125, 1649877218.127346)
(-3233.23583984375, 1649877220.2875578)
(-3251.566162109375, 1649877222.326421)
(-3268.95849609375, 1649877224.501667)
(-3299.644287109375, 1649877226.527195)
(-3318.13525390625, 1649877228.747205)
(-3346.5361328125, 1649877230.801429)
(-3363.15771484375, 1649877232.99281)
(-3387.5546875, 1649877235.04751)
(-3404.858154296875, 1649877237.237205)
(-3431.8740234375, 1649877239.246934)
(-3448.84521484375, 1649877241.467315)
(-3471.724365234375, 1649877243.4915578)
(-3489.884765625, 1649877245.6962612)
(-3515.833740234375, 1649877247.736906)
(-3531.973876953125, 1649877249.926374)
(-3548.79296875, 1649877251.937204)
